id,name,country,url,image,pdf
164,DEERHOUND,GREAT BRITAIN,http://www.fci.be/en/nomenclature/DEERHOUND-164.html,http://www.fci.be/Nomenclature/Illustrations/164g10.jpg,http://www.fci.be/Nomenclature/Standards/164g10-en.pdf
165,ITALIAN SPINONE,ITALY,http://www.fci.be/en/nomenclature/ITALIAN-SPINONE-165.html,,http://www.fci.be/Nomenclature/Standards/165g07-en.pdf
166,GERMAN SHEPHERD DOG,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html,http://www.fci.be/Nomenclature/Illustrations/166g01-1.jpg,http://www.fci.be/Nomenclature/Standards/166g01-en.pdf
167,AMERICAN COCKER SPANIEL,UNITED STATES OF AMERICA,http://www.fci.be/en/nomenclature/AMERICAN-COCKER-SPANIEL-167.html,,http://www.fci.be/Nomenclature/Standards/167g08-en.pdf
168,DANDIE DINMONT TERRIER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/DANDIE-DINMONT-TERRIER-168.html,http://www.fci.be/Nomenclature/Illustrations/168g03.jpg,http://www.fci.be/Nomenclature/Standards/168g03-en.pdf
169,FOX TERRIER (WIRE),GREAT BRITAIN,http://www.fci.be/en/nomenclature/FOX-TERRIER-WIRE-169.html,http://www.fci.be/Nomenclature/Illustrations/169g03.jpg,http://www.fci.be/Nomenclature/Standards/169g03-en.pdf
170,CASTRO LABOREIRO DOG,PORTUGAL,http://www.fci.be/en/nomenclature/CASTRO-LABOREIRO-DOG-170.html,http://www.fci.be/Nomenclature/Illustrations/170g02.jpg,http://www.fci.be/Nomenclature/Standards/170g02-en.pdf
171,BOUVIER DES ARDENNES,BELGIUM,http://www.fci.be/en/nomenclature/BOUVIER-DES-ARDENNES-171.html,,http://www.fci.be/Nomenclature/Standards/171g01-en.pdf
172,POODLE,FRANCE,http://www.fci.be/en/nomenclature/POODLE-172.html,http://www.fci.be/Nomenclature/Illustrations/172g09.jpg,http://www.fci.be/Nomenclature/Standards/172g09-en.pdf
173,ESTRELA MOUNTAIN DOG,PORTUGAL,http://www.fci.be/en/nomenclature/ESTRELA-MOUNTAIN-DOG-173.html,http://www.fci.be/Nomenclature/Illustrations/173g02.jpg,http://www.fci.be/Nomenclature/Standards/173g02-en.pdf
175,FRENCH SPANIEL,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-SPANIEL-175.html,http://www.fci.be/Nomenclature/Illustrations/175g07.jpg,http://www.fci.be/Nomenclature/Standards/175g07-en.pdf
176,PICARDY SHEEPDOG,FRANCE,http://www.fci.be/en/nomenclature/PICARDY-SHEEPDOG-176.html,http://www.fci.be/Nomenclature/Illustrations/176g01.jpg,http://www.fci.be/Nomenclature/Standards/176g01-en.pdf
177,ARIEGE POINTING DOG,FRANCE,http://www.fci.be/en/nomenclature/ARIEGE-POINTING-DOG-177.html,,http://www.fci.be/Nomenclature/Standards/177g07-en.pdf
179,BOURBONNAIS POINTING DOG,FRANCE,http://www.fci.be/en/nomenclature/BOURBONNAIS-POINTING-DOG-179.html,http://www.fci.be/Nomenclature/Illustrations/179g07.jpg,http://www.fci.be/Nomenclature/Standards/179g07-en.pdf
180,AUVERGNE POINTER,FRANCE,http://www.fci.be/en/nomenclature/AUVERGNE-POINTER-180.html,http://www.fci.be/Nomenclature/Illustrations/180g07.jpg,http://www.fci.be/Nomenclature/Standards/180g07-en.pdf
181,GIANT SCHNAUZER,GERMANY,http://www.fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html,http://www.fci.be/Nomenclature/Illustrations/181g02.jpg,http://www.fci.be/Nomenclature/Standards/181g02-en.pdf
182,SCHNAUZER,GERMANY,http://www.fci.be/en/nomenclature/SCHNAUZER-182.html,http://www.fci.be/Nomenclature/Illustrations/182g02.jpg,http://www.fci.be/Nomenclature/Standards/182g02-en.pdf
183,MINIATURE SCHNAUZER,GERMANY,http://www.fci.be/en/nomenclature/MINIATURE-SCHNAUZER-183.html,http://www.fci.be/Nomenclature/Illustrations/183g02.jpg,http://www.fci.be/Nomenclature/Standards/183g02-en.pdf
